dataset,activation,N,L,batch_size,n_seeds,seeds,lambda_constraints_AtA_median,lambda_max_total_gn_median,eta_best_1_over_lambda_median,eta_max_2_over_lambda_median,alpha_cap_eta_best_median
fashion_mnist,tanh,16,8,64,3,"0,1,2",4.730933616074955,4.743655611421032,0.2108078836061278,0.4216157672122556,2.0107564353072727
fashion_mnist,tanh,16,16,64,3,"0,1,2",4.432565992355302,4.44544973059069,0.22494911889761146,0.4498982377952229,2.02087628094844
fashion_mnist,tanh,16,32,64,3,"0,1,2",4.237958981527306,4.237242967341901,0.2360025157177423,0.4720050314354846,2.002241849138665
fashion_mnist,tanh,16,64,64,3,"0,1,2",4.094971419278789,4.098586923585023,0.2439865296611308,0.4879730593222616,2.0024630436030035
fashion_mnist,tanh,16,128,64,3,"0,1,2",4.026143475021813,4.024520220906137,0.24847682335034857,0.49695364670069714,1.9992619798029891
fashion_mnist,tanh,32,8,64,3,"0,1,2",4.734215549561591,4.717840467320249,0.21196138507159054,0.4239227701431811,1.9830005627342584
fashion_mnist,tanh,32,16,64,3,"0,1,2",4.406027767016696,4.40339541374557,0.22709747956733925,0.4541949591346785,1.9980177482397097
fashion_mnist,tanh,32,32,64,3,"0,1,2",4.21468248610324,4.2075721195769535,0.2376667521270067,0.4753335042540134,2.002065474445275
fashion_mnist,tanh,32,64,64,3,"0,1,2",4.0926060791909835,4.094035422970771,0.24425777910694432,0.48851555821388865,2.00139700108159
fashion_mnist,tanh,32,128,64,3,"0,1,2",4.0288919473542215,4.029589805654535,0.24816421726021512,0.49632843452043024,1.999478398519254
fashion_mnist,tanh,64,8,64,3,"0,1,2",4.698759353218145,4.720935599462964,0.21182241929200565,0.4236448385840113,2.014618756250914
fashion_mnist,tanh,64,16,64,3,"0,1,2",4.401372370743465,4.404852351207938,0.22702236539796186,0.4540447307959237,2.0043140659647314
fashion_mnist,tanh,64,32,64,3,"0,1,2",4.20312990004497,4.206243617570118,0.2377418169082856,0.4754836338165712,1.9997717081319002
fashion_mnist,tanh,64,64,64,3,"0,1,2",4.0861009041240814,4.086277358957042,0.24472151842752893,0.48944303685505786,1.9994479132059557
fashion_mnist,tanh,64,128,64,3,"0,1,2",4.0258458182675545,4.025717773461476,0.24840290757396022,0.49680581514792044,1.9998727772380178
fashion_mnist,tanh,128,8,64,3,"0,1,2",4.689731178613951,4.6799047537932426,0.21367956242901345,0.4273591248580269,1.9910011791723323
fashion_mnist,tanh,128,16,64,3,"0,1,2",4.394981607206911,4.394734465096514,0.22754503325334327,0.45509006650668654,1.9983666856492528
fashion_mnist,tanh,128,32,64,3,"0,1,2",4.200895630212522,4.202130911194129,0.23797449939888418,0.47594899879776836,1.999708626199003
fashion_mnist,tanh,128,64,64,3,"0,1,2",4.087777552872574,4.086286560375734,0.24472096736848775,0.4894419347369755,1.9987766797957396
fashion_mnist,tanh,128,128,64,3,"0,1,2",4.024563889821786,4.023697892990447,0.24852760485375092,0.49705520970750183,1.9997178045451998
mnist,linear,8,8,64,3,"0,1,2",5.071337420966187,5.0735071486275825,0.19710231417935553,0.39420462835871106,2.0017113652524285
mnist,linear,8,16,64,3,"0,1,2",4.748047928542725,4.76472993567804,0.20987548371043113,0.41975096742086226,2.0073230029068077
mnist,linear,8,32,64,3,"0,1,2",4.423592835328418,4.4216371846524725,0.2261605731630369,0.4523211463260738,1.9966671107366127
mnist,linear,8,64,64,3,"0,1,2",4.244836591046237,4.25556903788964,0.2349862006928938,0.4699724013857876,2.0029745657024494
mnist,linear,8,128,64,3,"0,1,2",4.102446167479974,4.1041877439143475,0.24365357103431512,0.48730714206863024,1.9984863418981687
mnist,linear,16,8,64,3,"0,1,2",5.015656213329368,5.021666897170295,0.19913706354427832,0.39827412708855664,2.004815998307233
mnist,linear,16,16,64,3,"0,1,2",4.645622893394343,4.6408254857280475,0.21547890630132607,0.43095781260265215,2.0018016634906983
mnist,linear,16,32,64,3,"0,1,2",4.381665128033603,4.3786677150233535,0.22837996968095273,0.45675993936190545,1.9992849274028655
mnist,linear,16,64,64,3,"0,1,2",4.194610412073805,4.195054181664832,0.23837594383659283,0.47675188767318566,1.9996258796116413
mnist,linear,16,128,64,3,"0,1,2",4.092387516872753,4.090597529413187,0.24446306262338502,0.48892612524677004,1.998087523659723
mnist,linear,32,8,64,3,"0,1,2",5.0910215575334234,5.085724771879676,0.19662880805687044,0.3932576161137409,1.9958383317816364
mnist,linear,32,16,64,3,"0,1,2",4.661343709103411,4.65884532336238,0.2146454605361915,0.429290921072383,2.001599810095146
mnist,linear,32,32,64,3,"0,1,2",4.363447971600353,4.369321043670481,0.22886851069198214,0.45773702138396427,2.0043062513580887
mnist,linear,32,64,64,3,"0,1,2",4.197390978228286,4.196165987322938,0.23831278434196979,0.47662556868393957,1.9989638130871157
mnist,linear,32,128,64,3,"0,1,2",4.087536419366309,4.087088049300995,0.24467297693061144,0.48934595386122287,1.9995612319800364
mnist,linear,64,8,64,3,"0,1,2",5.085867598353905,5.083376929714422,0.19671962434156515,0.3934392486831303,1.9991335382648971
mnist,linear,64,16,64,3,"0,1,2",4.655291482198955,4.646350698170315,0.21522266935076373,0.43044533870152746,1.993446935219997
mnist,linear,64,32,64,3,"0,1,2",4.361665244370605,4.364744341511537,0.22910849336336936,0.4582169867267387,2.001237020731118
mnist,linear,64,64,64,3,"0,1,2",4.189440986964506,4.189770408903005,0.23867656277180757,0.47735312554361514,2.000314525913624
mnist,linear,64,128,64,3,"0,1,2",4.087420644259479,4.086537263479586,0.24470595409388846,0.4894119081877769,1.9991355127286603
mnist,linear,128,8,64,3,"0,1,2",5.032982323933136,5.034021904722221,0.19864832114892841,0.39729664229785683,2.005096291587935
mnist,linear,128,16,64,3,"0,1,2",4.628104054379999,4.633783032605467,0.21580639252281167,0.43161278504562334,2.0019193189838944
mnist,linear,128,32,64,3,"0,1,2",4.360112977796535,4.357203920244474,0.22950498032781813,0.45900996065563626,1.997264250764228
mnist,linear,128,64,64,3,"0,1,2",4.187031148716487,4.187845197053105,0.23878628577380992,0.47757257154761984,2.0007776854842527
mnist,linear,128,128,64,3,"0,1,2",4.086643016816895,4.0872062175886095,0.24466590300647592,0.48933180601295184,1.9996978790017015
mnist,relu,8,8,64,3,"0,1,2",4.931229683843002,4.942086202004303,0.20234369841514338,0.40468739683028676,2.0083004471396926
mnist,relu,8,16,64,3,"0,1,2",4.570918597823312,4.5566370428761624,0.21946009537086086,0.4389201907417217,1.9985125397329728
mnist,relu,8,32,64,3,"0,1,2",4.357469018947831,4.362021668026048,0.22925149760948607,0.45850299521897214,2.003319411521997
mnist,relu,8,64,64,3,"0,1,2",4.1778408348675935,4.16608773142837,0.24003335130370465,0.4800667026074093,1.9996105702538505
mnist,relu,8,128,64,3,"0,1,2",4.04299783790916,4.044917091897823,0.24722385583700876,0.4944477116740175,1.9985335310505823
mnist,relu,16,8,64,3,"0,1,2",4.799528779909219,4.762697481504818,0.2099650468843217,0.4199300937686434,1.998254365949153
mnist,relu,16,16,64,3,"0,1,2",4.510689759553745,4.506273302506991,0.2219128607764794,0.4438257215529588,2.006567021996217
mnist,relu,16,32,64,3,"0,1,2",4.279011005165851,4.291404173836341,0.23302396127047634,0.4660479225409527,2.0103538208413685
mnist,relu,16,64,64,3,"0,1,2",4.114323865525272,4.119717646288997,0.24273508183280246,0.4854701636656049,2.0043192880706044
mnist,relu,16,128,64,3,"0,1,2",4.042211010509059,4.043946292443712,0.24728320498928066,0.4945664099785613,2.0017171611577336
mnist,relu,32,8,64,3,"0,1,2",4.785244055532649,4.774067533070987,0.20946498830877153,0.41892997661754305,1.9788416550100294
mnist,relu,32,16,64,3,"0,1,2",4.432972012706595,4.430100083811638,0.22572853458868236,0.4514570691773647,1.9974085747559656
mnist,relu,32,32,64,3,"0,1,2",4.243249644292805,4.239539840370336,0.2358746556590083,0.4717493113180166,1.9934567020513514
